代码,基金名,四分位,夏普率,标准差,同类排名,阶段涨幅,总分
001643,汇丰晋信智造先锋股票A,9.0,2.835,9.312,16.443,28.416,66.0072303361449
003834,华夏能源革新股票,9.0,2.442,10.349,16.807,26.893,65.491935924304
001644,汇丰晋信智造先锋股票C,9.0,2.817,9.311,16.418,27.884,65.42943780691934
005968,创金合信工业周期股票A,8.6,2.84,8.85,16.242,26.279,62.81183160984743
005885,金鹰信息产业股票C,9.0,2.452,9.466,16.634,24.724,62.276698242144604
005969,创金合信工业周期股票C,8.6,2.81,8.85,16.16,25.58,62.00044792501173
000828,泰达转型机遇,9.0,2.568,9.704,16.897,23.592,61.76039014112857
004812,中欧先进制造股票A,9.6,2.632,8.596,17.16,22.693,60.68187790276804
003853,金鹰信息产业股票A,9.0,2.47,9.466,16.658,22.954,60.548086429858074
004813,中欧先进制造股票C,9.6,2.615,8.598,16.87,22.378,60.0617709118951
540008,汇丰晋信低碳先锋股票,9.0,2.395,10.065,16.203,22.062,59.724294561428735
004784,招商稳健优选股票,9.6,2.465,8.362,17.578,20.104,58.10798466401582
001790,国泰智能汽车股票A,9.0,2.285,9.66,16.693,19.924,57.56254061867986
005927,创金合信新能源汽车股票A,9.6,2.142,9.378,17.442,18.69,57.25324810047676
005928,创金合信新能源汽车股票C,9.6,2.105,9.378,17.391,18.115,56.588913329808236
004640,华夏节能环保股票,9.2,2.558,8.394,16.293,19.756,56.20060766903867
004925,长信低碳环保行业量化股票,9.6,2.178,8.854,17.393,17.79,55.813815131862064
003984,嘉实新能源新材料股票A,9.0,2.552,8.464,15.765,20.005,55.78668355949682
003985,嘉实新能源新材料股票C,9.0,2.535,8.464,15.704,19.633,55.335958088399416
004851,广发医疗保健股票A,9.2,2.31,8.889,15.971,18.482,54.85307155150037
001054,工银新金融股票,9.4,3.273,6.758,16.493,18.864,54.78759049295872
001476,中银智能制造股票A,9.6,2.505,8.41,16.616,17.608,54.73930401905463
001717,工银前沿医疗股票A,8.4,2.555,8.378,15.06,19.729,54.122186726263664
000409,鹏华环保产业股票,9.4,2.72,8.057,16.424,17.233,53.8335512615579
001171,工银养老产业股票A,9.2,2.495,8.285,16.147,16.97,53.097349079937544
005825,申万菱信智能驱动股票,9.2,2.712,7.316,16.059,17.211,52.49923312766619
001410,信达澳银新能源产业股票,9.2,2.2,8.8,16.035,16.138,52.37295724010974
004075,交银医药创新股票,8.4,2.462,8.268,14.547,18.541,52.21873908975964
001616,嘉实环保低碳股票,9.0,2.47,8.302,15.548,16.868,52.18782265528432
004616,中欧电子信息产业沪港深股票A,9.6,2.12,8.535,16.842,14.422,51.518549644087486
004040,金鹰医疗健康产业A,9.0,2.215,8.731,15.71,15.822,51.47796301167893
001956,国联安科技动力,9.2,1.852,9.952,16.41,13.991,51.40598982154454
001104,华安新丝路主题股票,8.8,2.722,7.82,15.532,16.401,51.275252366460734
004041,金鹰医疗健康产业C,9.0,2.188,8.731,15.639,15.414,50.97150251349365
002168,嘉实智能汽车股票,9.0,2.265,8.62,15.603,15.388,50.8769151974856
005763,中欧电子信息产业沪港深股票C,9.6,2.082,8.534,16.701,13.939,50.85632674261889
001245,工银生态环境股票,8.6,2.672,8.23,15.19,16.137,50.82930918090527
005669,前海开源公用事业股票,9.6,2.092,7.516,16.763,14.467,50.43797365161458
000913,农银医疗保健股票,8.2,2.218,9.552,14.75,15.438,50.15675972187393
005037,银华新能源新材料A,9.2,2.117,8.634,16.351,13.765,50.06771295893506
005038,银华新能源新材料C,9.2,2.09,8.636,16.292,13.463,49.680086354008466
005303,嘉实医药健康股票A,9.4,2.315,7.606,16.055,14.249,49.62513820687672
000831,工银医疗保健股票,8.4,2.318,8.827,14.729,15.335,49.60918933626866
002980,华夏创新前沿股票,9.4,2.372,7.73,15.78,14.27,49.55255957994727
005235,银华食品饮料量化股票发起式A,9.6,2.272,8.058,15.899,13.272,49.10239133947201
001496,工银聚焦30股票,9.6,2.575,7.025,16.207,13.61,49.0171108970063
005236,银华食品饮料量化股票发起式C,9.6,2.25,8.058,15.818,13.022,48.74855646802257
001009,上投摩根安全战略股票,9.6,2.465,7.742,15.666,13.104,48.577212678674705
005304,嘉实医药健康股票C,9.0,2.278,7.607,15.927,13.669,48.47931559013168
001825,建信中国制造2025,9.2,2.512,7.127,16.25,13.21,48.2995620769509
001718,工银物流产业股票,8.6,2.96,6.519,15.453,14.748,48.28034412280053
000592,建信改革红利股票,8.6,2.775,7.343,15.032,14.36,48.110285613843814
001714,工银文体产业股票A,9.2,2.585,7.055,15.371,13.709,47.91986817127231
000991,工银战略转型股票A,7.6,3.287,6.45,14.144,16.237,47.71858038435853
003230,创金合信医疗保健股票A,7.6,2.352,8.311,12.884,16.286,47.43312328821001
519714,交银消费新驱动股票,8.6,2.765,6.868,14.816,14.268,47.316335490427235
001126,上投摩根卓越制造股票,8.4,2.775,7.304,14.266,14.529,47.274552973083296
001072,华安智能装备主题股票,9.6,2.088,7.556,16.381,11.474,47.09901446386235
000696,汇添富环保行业股票,9.0,2.33,7.874,15.752,11.886,46.84099009494809
001043,工银美丽城镇股票A,9.0,2.963,6.383,15.236,13.2,46.78159596497184
003231,创金合信医疗保健股票C,7.6,2.33,8.31,12.74,15.79,46.77006963974226
